Seed, Runtime(s), ecmin
2, 8.39, 702
4, 8.55, 705
5, 8.64, 705
1, 8.70, 699
6, 8.93, 705
3, 9.13, 708
12, 8.35, 699
8, 8.55, 702
9, 8.64, 702
10, 8.58, 702
11, 8.99, 702
7, 9.08, 708
16, 8.44, 705
18, 8.76, 702
13, 8.86, 705
14, 8.88, 705
15, 8.99, 708
17, 9.10, 705
22, 11.28, 708
23, 11.41, 708
20, 11.41, 702
21, 11.57, 705
19, 11.66, 705
24, 11.83, 705
26, 8.51, 705
30, 8.55, 702
25, 8.71, 705
29, 8.90, 702
28, 9.01, 705
27, 9.15, 705
