Seed, Runtime(s), ecmin
4, 159.49, 3375
6, 162.57, 3381
1, 163.90, 3378
2, 164.00, 3393
5, 164.31, 3384
3, 164.97, 3375
9, 158.52, 3384
12, 159.17, 3396
7, 160.09, 3387
8, 160.24, 3399
11, 161.01, 3384
10, 164.59, 3390
18, 153.11, 3399
16, 155.86, 3387
15, 157.71, 3375
17, 159.27, 3390
13, 159.66, 3390
14, 160.35, 3396
19, 156.90, 3390
20, 160.81, 3393
23, 161.12, 3387
24, 163.49, 3384
21, 166.17, 3375
22, 173.17, 3387
27, 149.29, 3381
29, 156.88, 3387
28, 158.35, 3384
30, 159.77, 3393
26, 162.66, 3390
25, 163.14, 3381
