Seed, Runtime(s), ecmin
6, 124.25, 2862
4, 131.81, 2853
5, 133.06, 2871
2, 133.55, 2856
3, 134.49, 2862
1, 135.30, 2862
10, 128.35, 2865
12, 131.41, 2850
8, 131.81, 2865
9, 131.93, 2853
7, 133.94, 2856
11, 135.72, 2868
18, 126.37, 2862
15, 130.23, 2856
17, 131.37, 2862
13, 133.19, 2859
16, 133.60, 2865
14, 134.18, 2868
20, 126.16, 2856
22, 127.76, 2856
21, 129.38, 2865
19, 131.85, 2868
24, 132.53, 2862
23, 133.35, 2865
29, 131.60, 2859
28, 131.96, 2862
27, 135.21, 2856
30, 135.19, 2853
26, 135.44, 2865
25, 138.61, 2865
