Seed, Runtime(s), mecmin
3, 40.08, 59.00
1, 41.19, 61.00
4, 41.96, 62.00
2, 43.31, 65.00
5, 45.15, 62.00
7, 47.37, 60.00
6, 47.55, 62.00
8, 49.09, 61.00
12, 43.37, 60.00
9, 45.06, 65.00
10, 45.11, 61.00
11, 45.80, 63.00
14, 44.22, 60.00
15, 45.09, 57.00
16, 45.28, 61.00
13, 46.14, 60.00
17, 49.71, 61.00
20, 50.13, 62.00
19, 52.06, 60.00
18, 52.12, 60.00
21, 42.70, 62.00
24, 43.43, 62.00
23, 45.14, 60.00
22, 46.05, 60.00
26, 50.81, 59.00
25, 52.37, 60.00
27, 53.39, 65.00
28, 54.45, 60.00
30, 38.56, 62.00
29, 39.23, 60.00
