Input, avgRuntime, mecmin, best, worst, std
100 4 10, 5.20, 33.93, 33.00, 39.00, 1.57
100 4 20, 6.21, 22.36, 20.00, 24.00, 1.24
300 4 10, 18.97, 77.63, 69.00, 86.00, 4.98
300 4 20, 37.27, 21.76, 19.00, 23.00, 1.33
500 4 10, 46.19, 61.06, 57.00, 65.00, 1.79
500 4 20, 104.71, 25.16, 23.00, 27.00, 1.01
