Seed, Runtime(s), mecmin
2, 106.69, 25.00
3, 110.68, 24.00
4, 111.07, 25.00
1, 111.76, 25.00
7, 102.81, 25.00
8, 105.50, 24.00
5, 107.71, 25.00
6, 107.94, 25.00
12, 107.32, 25.00
10, 107.43, 27.00
9, 108.85, 24.00
11, 110.32, 25.00
14, 103.38, 24.00
16, 106.55, 27.00
15, 106.88, 25.00
13, 111.82, 27.00
20, 103.18, 27.00
18, 103.98, 25.00
17, 106.11, 23.00
19, 113.33, 25.00
23, 101.97, 27.00
24, 103.95, 25.00
21, 106.43, 25.00
22, 107.57, 26.00
28, 102.73, 25.00
25, 103.37, 24.00
26, 104.50, 25.00
27, 105.70, 25.00
29, 73.03, 26.00
30, 78.77, 25.00
