Seed, Runtime(s), mecmin
3, 58.13, 23.00
4, 58.45, 23.00
2, 63.46, 21.00
1, 63.97, 23.00
5, 59.62, 21.00
8, 62.72, 21.00
6, 63.46, 21.00
7, 66.46, 21.00
12, 61.66, 23.00
10, 64.42, 23.00
11, 66.71, 21.00
9, 68.48, 23.00
15, 60.59, 23.00
13, 61.65, 21.00
14, 63.22, 21.00
16, 63.44, 21.00
20, 70.91, 21.00
17, 71.13, 21.00
19, 72.95, 23.00
18, 73.78, 21.00
24, 62.74, 21.00
22, 63.29, 23.00
21, 63.73, 23.00
23, 67.89, 21.00
25, 58.88, 23.00
26, 63.21, 23.00
27, 63.52, 21.00
28, 63.99, 23.00
29, 43.47, 23.00
30, 49.58, 21.00
