Seed, Runtime(s), mecmin
2, 34.53, 20.00
1, 35.05, 21.00
3, 36.31, 23.00
4, 37.10, 23.00
6, 35.85, 20.00
5, 38.02, 20.00
8, 38.57, 21.00
7, 38.77, 20.00
12, 35.20, 19.00
9, 38.11, 21.00
11, 40.12, 23.00
10, 41.02, 21.00
15, 37.25, 23.00
16, 38.92, 21.00
14, 39.39, 23.00
13, 39.68, 23.00
18, 40.06, 23.00
20, 41.07, 23.00
19, 41.69, 23.00
17, 42.10, 23.00
23, 34.57, 21.00
21, 34.98, 23.00
22, 36.44, 21.00
24, 36.50, 21.00
26, 34.21, 20.00
25, 36.12, 23.00
27, 36.93, 23.00
28, 37.29, 23.00
29, 30.99, 21.00
30, 31.26, 23.00
