Seed, Runtime(s), mecmin
4, 18.79, 84.00
1, 19.13, 69.00
3, 19.29, 75.00
2, 19.90, 73.00
6, 18.83, 71.00
5, 19.46, 83.00
8, 19.86, 81.00
7, 21.01, 86.00
10, 17.54, 78.00
11, 17.79, 82.00
9, 19.07, 81.00
12, 19.89, 78.00
15, 18.39, 72.00
16, 18.56, 80.00
13, 18.81, 71.00
14, 19.00, 76.00
20, 20.02, 75.00
19, 20.63, 72.00
18, 20.63, 84.00
17, 21.41, 80.00
22, 18.43, 72.00
23, 18.59, 86.00
21, 18.96, 74.00
24, 19.41, 75.00
26, 18.08, 81.00
27, 18.23, 86.00
28, 18.49, 77.00
25, 18.70, 78.00
30, 15.96, 75.00
29, 16.28, 74.00
