Seed, Runtime(s), ecmin
3, 40.29, 1947.00
2, 40.66, 1947.00
1, 41.42, 1941.00
4, 41.38, 1947.00
7, 38.34, 1947.00
5, 39.32, 1944.00
8, 40.43, 1938.00
6, 40.73, 1947.00
12, 40.20, 1947.00
10, 40.25, 1944.00
11, 40.46, 1944.00
9, 41.22, 1947.00
13, 42.99, 1947.00
15, 43.26, 1947.00
14, 43.27, 1944.00
16, 45.42, 1944.00
17, 40.85, 1941.00
18, 41.00, 1941.00
20, 41.81, 1947.00
19, 43.46, 1947.00
24, 38.23, 1941.00
21, 38.30, 1944.00
22, 38.72, 1941.00
23, 40.25, 1947.00
28, 39.08, 1941.00
27, 39.74, 1941.00
25, 40.04, 1944.00
26, 40.42, 1947.00
30, 30.88, 1944.00
29, 31.27, 1944.00
