Seed, Runtime(s), ecmin
3, 46.95, 5946.00
1, 47.41, 5952.00
4, 48.41, 5943.00
2, 48.81, 5949.00
6, 46.23, 5949.00
8, 46.83, 5925.00
7, 46.95, 5949.00
5, 47.80, 5952.00
10, 48.24, 5934.00
12, 48.80, 5937.00
11, 49.22, 5955.00
9, 49.92, 5952.00
16, 45.70, 5949.00
15, 46.71, 5946.00
14, 47.23, 5955.00
13, 47.48, 5955.00
19, 48.34, 5952.00
17, 50.68, 5949.00
18, 50.80, 5958.00
20, 50.81, 5937.00
23, 56.52, 5940.00
22, 57.99, 5943.00
21, 58.58, 5949.00
24, 58.98, 5955.00
28, 46.60, 5949.00
27, 47.51, 5952.00
26, 49.21, 5946.00
25, 52.70, 5955.00
30, 37.45, 5952.00
29, 39.51, 5946.00
