Input, avgRuntime, ecmin, best, worst, std
100 4 10, 5.33, 931.90, 930.00, 936.00, 1.84
100 4 20, 5.80, 697.30, 696.00, 699.00, 1.50
300 4 10, 19.35, 3586.80, 3567.00, 3597.00, 6.66
300 4 20, 40.12, 1944.40, 1938.00, 1947.00, 2.69
500 4 10, 48.94, 5947.70, 5925.00, 5958.00, 7.29
500 4 20, 116.92, 3381.70, 3372.00, 3387.00, 3.11
