Seed, Runtime(s), ecmin
3, 5.39, 930.00
2, 5.52, 933.00
1, 5.83, 933.00
4, 6.04, 936.00
6, 5.25, 930.00
8, 5.31, 933.00
5, 5.37, 930.00
7, 5.45, 936.00
10, 5.20, 933.00
9, 5.37, 933.00
11, 5.81, 933.00
12, 6.05, 933.00
15, 5.34, 930.00
14, 5.31, 930.00
16, 5.34, 933.00
13, 5.46, 930.00
18, 5.16, 930.00
20, 5.18, 930.00
19, 5.30, 930.00
17, 5.53, 930.00
21, 5.24, 933.00
23, 5.26, 933.00
22, 5.38, 933.00
24, 5.57, 930.00
25, 5.01, 933.00
27, 5.22, 933.00
28, 5.26, 933.00
26, 5.53, 930.00
29, 3.92, 930.00
30, 4.37, 933.00
