Seed, Runtime(s), ecmin
4, 17.91, 3591.00
2, 18.04, 3594.00
3, 18.13, 3591.00
1, 18.24, 3582.00
5, 18.45, 3591.00
7, 18.46, 3594.00
8, 18.54, 3582.00
6, 18.67, 3579.00
11, 18.00, 3588.00
9, 18.51, 3585.00
12, 18.50, 3594.00
10, 18.81, 3588.00
13, 18.74, 3588.00
14, 19.13, 3591.00
16, 19.43, 3588.00
15, 19.44, 3588.00
19, 20.42, 3582.00
18, 20.43, 3588.00
20, 20.66, 3570.00
17, 20.88, 3591.00
24, 21.10, 3588.00
23, 21.28, 3588.00
22, 21.34, 3588.00
21, 22.42, 3585.00
28, 20.27, 3597.00
26, 20.41, 3594.00
25, 20.64, 3588.00
27, 20.63, 3567.00
30, 16.43, 3579.00
29, 16.73, 3585.00
