Seed, Runtime(s), ecmin
1, 29.48, 5106.00
4, 29.57, 5115.00
2, 30.72, 5109.00
3, 31.18, 5112.00
5, 30.39, 5109.00
6, 30.67, 5109.00
7, 31.04, 5109.00
8, 31.26, 5109.00
12, 31.10, 5103.00
9, 31.33, 5106.00
10, 31.41, 5103.00
11, 31.53, 5109.00
13, 30.56, 5109.00
15, 30.76, 5106.00
14, 31.15, 5115.00
16, 31.25, 5115.00
20, 31.54, 5115.00
19, 31.59, 5115.00
17, 31.74, 5106.00
18, 32.48, 5115.00
21, 30.95, 5112.00
23, 31.85, 5103.00
24, 31.88, 5109.00
22, 32.03, 5109.00
26, 31.01, 5109.00
28, 31.41, 5103.00
25, 31.57, 5103.00
27, 31.88, 5112.00
29, 25.50, 5106.00
30, 25.64, 5112.00
