Seed, Runtime(s), ecmin
3, 66.84, 2739.00
4, 70.09, 2730.00
1, 71.55, 2733.00
2, 71.86, 2736.00
5, 72.49, 2733.00
8, 75.62, 2733.00
6, 75.73, 2736.00
7, 76.34, 2727.00
10, 68.85, 2733.00
12, 70.67, 2736.00
11, 73.41, 2733.00
9, 73.81, 2736.00
15, 72.62, 2730.00
13, 74.22, 2730.00
16, 74.29, 2736.00
14, 77.14, 2736.00
19, 76.64, 2733.00
17, 77.08, 2724.00
20, 77.86, 2736.00
18, 79.43, 2730.00
21, 72.51, 2733.00
24, 72.56, 2730.00
23, 75.30, 2724.00
22, 76.15, 2718.00
28, 70.25, 2724.00
25, 71.85, 2733.00
27, 73.41, 2733.00
26, 73.59, 2736.00
30, 53.16, 2721.00
29, 54.61, 2733.00
