Seed, Runtime(s), mecmin
4, 40.31, 65.00
3, 42.15, 65.00
1, 42.14, 65.00
2, 43.02, 59.00
7, 42.83, 61.00
5, 43.08, 65.00
8, 43.31, 65.00
6, 43.60, 62.00
10, 41.17, 63.00
9, 41.55, 65.00
12, 41.80, 65.00
11, 47.42, 63.00
13, 40.76, 65.00
14, 41.84, 61.00
15, 41.91, 64.00
16, 41.98, 60.00
18, 40.82, 63.00
20, 42.69, 62.00
17, 43.61, 60.00
19, 44.09, 62.00
22, 40.73, 61.00
21, 41.92, 61.00
24, 42.70, 62.00
23, 48.01, 65.00
26, 40.50, 65.00
28, 40.88, 66.00
25, 41.58, 64.00
27, 42.67, 67.00
30, 34.04, 60.00
29, 34.70, 66.00
