Seed, Runtime(s), mecmin
4, 26.37, 87.00
1, 26.69, 90.00
3, 27.04, 89.00
2, 27.11, 83.00
6, 27.25, 87.00
5, 27.85, 86.00
8, 28.08, 90.00
7, 28.34, 86.00
12, 27.40, 92.00
11, 27.51, 86.00
9, 27.87, 90.00
10, 28.89, 87.00
14, 27.61, 91.00
13, 27.73, 92.00
16, 28.79, 91.00
15, 29.48, 89.00
20, 26.65, 92.00
19, 27.36, 89.00
18, 27.49, 90.00
17, 28.29, 86.00
24, 28.20, 86.00
23, 28.30, 92.00
22, 28.33, 87.00
21, 28.52, 84.00
27, 27.79, 78.00
26, 27.84, 93.00
28, 28.08, 91.00
25, 28.56, 69.00
30, 23.46, 87.00
29, 23.47, 89.00
