Seed, Runtime(s), mecmin
2, 35.06, 23.00
3, 35.24, 23.00
4, 35.89, 23.00
1, 36.01, 23.00
5, 36.98, 21.00
6, 37.33, 24.00
7, 38.61, 23.00
8, 39.38, 22.00
10, 36.51, 23.00
9, 37.33, 24.00
12, 37.80, 23.00
11, 37.81, 23.00
15, 36.27, 23.00
16, 36.98, 23.00
14, 37.33, 21.00
13, 38.25, 23.00
18, 38.07, 23.00
17, 38.14, 21.00
20, 38.32, 22.00
19, 39.85, 23.00
24, 35.54, 23.00
23, 36.19, 23.00
22, 36.57, 23.00
21, 36.95, 23.00
28, 37.11, 23.00
25, 37.62, 23.00
27, 38.27, 23.00
26, 38.32, 22.00
30, 29.50, 23.00
29, 29.84, 23.00
