Seed, Runtime(s), mecmin
1, 17.87, 84.00
3, 18.16, 90.00
4, 18.20, 87.00
2, 18.25, 81.00
7, 17.72, 75.00
5, 18.30, 82.00
6, 18.41, 99.00
8, 18.91, 99.00
11, 18.05, 80.00
12, 18.23, 93.00
10, 18.39, 90.00
9, 19.33, 89.00
15, 17.74, 93.00
14, 18.26, 81.00
16, 18.32, 78.00
13, 19.31, 78.00
20, 18.04, 80.00
17, 18.38, 80.00
19, 18.71, 77.00
18, 18.98, 92.00
21, 17.87, 72.00
22, 18.47, 89.00
23, 18.86, 90.00
24, 18.89, 75.00
27, 18.43, 85.00
26, 18.58, 85.00
28, 18.70, 78.00
25, 18.84, 84.00
30, 15.12, 79.00
29, 15.49, 81.00
