Seed, Runtime(s), mecmin
4, 107.96, 25.00
1, 108.40, 24.00
3, 111.88, 27.00
2, 112.69, 25.00
5, 110.65, 27.00
6, 110.80, 25.00
8, 116.07, 25.00
7, 117.55, 27.00
10, 110.25, 25.00
11, 110.38, 27.00
9, 111.16, 27.00
12, 113.71, 26.00
15, 107.64, 27.00
13, 111.27, 25.00
14, 115.54, 26.00
16, 116.46, 25.00
19, 106.25, 25.00
17, 109.76, 25.00
18, 111.43, 26.00
20, 115.32, 25.00
22, 109.41, 25.00
24, 109.57, 26.00
21, 111.67, 27.00
23, 112.40, 27.00
28, 103.63, 27.00
27, 106.27, 28.00
26, 111.02, 25.00
25, 113.65, 25.00
29, 74.18, 27.00
30, 75.72, 27.00
