Seed, Runtime(s), mecmin
5, 26.51, 20.00
1, 27.61, 20.00
2, 28.42, 20.00
6, 28.65, 20.00
3, 28.85, 20.00
4, 28.82, 20.00
12, 26.05, 20.00
7, 26.56, 20.00
11, 26.55, 20.00
8, 27.26, 20.00
10, 27.88, 20.00
9, 28.73, 20.00
18, 25.42, 20.00
15, 25.69, 20.00
14, 25.88, 20.00
13, 26.23, 20.00
17, 27.01, 20.00
16, 27.70, 20.00
24, 26.19, 20.00
20, 26.44, 20.00
22, 26.37, 20.00
19, 26.46, 20.00
23, 27.84, 20.00
21, 27.94, 20.00
27, 25.43, 20.00
30, 25.53, 20.00
28, 25.61, 18.00
26, 25.92, 20.00
29, 26.37, 20.00
25, 27.88, 20.00
