Seed, Runtime(s), mecmin
2, 95.75, 21.00
4, 100.42, 21.00
6, 101.25, 23.00
5, 101.22, 21.00
1, 104.19, 21.00
3, 107.20, 21.00
9, 92.55, 20.00
12, 93.00, 21.00
8, 97.02, 21.00
11, 97.72, 21.00
10, 100.98, 21.00
7, 102.14, 21.00
17, 96.77, 22.00
13, 98.26, 21.00
18, 99.88, 23.00
14, 100.08, 23.00
15, 100.75, 20.00
16, 104.47, 23.00
19, 99.64, 21.00
22, 101.18, 23.00
21, 101.30, 20.00
23, 102.17, 21.00
20, 102.69, 21.00
24, 103.05, 22.00
26, 94.23, 23.00
30, 96.06, 23.00
28, 97.50, 23.00
25, 97.75, 21.00
29, 98.86, 21.00
27, 99.12, 23.00
