Input, avgRuntime, mecmin, best, worst, std
100 4 20, 8.40, 22.16, 18.00, 24.00, 1.41
150 4 20, 15.75, 18.10, 17.00, 20.00, .54
200 4 20, 26.92, 19.93, 18.00, 20.00, .36
250 4 20, 36.61, 22.46, 21.00, 24.00, 1.45
300 4 20, 59.41, 21.16, 19.00, 23.00, 1.43
350 4 20, 79.72, 21.70, 18.00, 26.00, 1.64
400 4 20, 99.57, 21.56, 20.00, 23.00, 1.03
450 4 20, 133.77, 26.13, 24.00, 30.00, 1.61
500 4 20, 162.31, 24.50, 23.00, 27.00, .77
