Seed, Runtime(s), mecmin
6, 76.81, 21.00
2, 78.86, 20.00
4, 79.50, 24.00
1, 79.64, 20.00
3, 80.40, 23.00
5, 82.26, 21.00
12, 75.87, 20.00
8, 77.12, 26.00
9, 79.58, 23.00
10, 80.54, 21.00
7, 82.07, 23.00
11, 85.17, 21.00
15, 72.17, 21.00
18, 77.47, 23.00
17, 79.45, 23.00
14, 80.68, 21.00
13, 80.77, 23.00
16, 80.83, 20.00
22, 72.18, 21.00
20, 77.54, 23.00
24, 78.85, 21.00
19, 80.13, 21.00
21, 80.64, 21.00
23, 80.79, 23.00
25, 78.83, 24.00
29, 81.07, 20.00
27, 81.24, 21.00
26, 83.32, 23.00
28, 83.65, 21.00
30, 84.30, 18.00
