Seed, Runtime(s), mecmin
4, 54.50, 23.00
6, 54.97, 21.00
1, 55.98, 23.00
3, 57.69, 20.00
5, 57.91, 20.00
2, 58.57, 20.00
12, 53.43, 20.00
11, 53.61, 20.00
8, 53.65, 23.00
9, 53.85, 23.00
7, 54.84, 20.00
10, 54.86, 21.00
14, 58.91, 23.00
15, 59.10, 21.00
17, 60.20, 21.00
13, 60.38, 23.00
18, 62.13, 23.00
16, 62.70, 21.00
22, 63.98, 23.00
19, 65.94, 19.00
21, 66.05, 21.00
20, 66.33, 21.00
24, 66.57, 20.00
23, 68.90, 19.00
30, 56.35, 23.00
26, 58.50, 21.00
29, 59.09, 19.00
28, 59.92, 23.00
27, 60.84, 20.00
25, 62.76, 20.00
