Seed, Runtime(s), mecmin
1, 126.91, 27.00
6, 127.13, 26.00
5, 129.09, 28.00
4, 129.82, 27.00
2, 135.57, 24.00
3, 144.09, 24.00
12, 129.77, 24.00
9, 130.10, 27.00
8, 136.81, 27.00
10, 137.64, 24.00
11, 140.88, 26.00
7, 141.72, 26.00
13, 130.53, 27.00
17, 132.46, 25.00
18, 133.94, 25.00
14, 135.98, 25.00
16, 136.77, 25.00
15, 138.34, 27.00
23, 127.38, 27.00
22, 129.47, 28.00
19, 132.28, 25.00
21, 136.41, 24.00
20, 136.83, 30.00
24, 139.54, 25.00
27, 129.32, 27.00
30, 130.80, 26.00
29, 131.07, 27.00
26, 131.13, 30.00
28, 135.27, 25.00
25, 136.27, 26.00
