Seed, Runtime(s), mecmin
1, 13.99, 18.00
6, 14.02, 18.00
3, 14.24, 18.00
4, 14.86, 18.00
5, 15.28, 18.00
2, 15.80, 20.00
12, 14.71, 18.00
9, 15.28, 18.00
7, 15.67, 18.00
11, 16.03, 18.00
8, 16.13, 18.00
10, 16.43, 18.00
15, 15.15, 18.00
17, 15.13, 18.00
13, 15.42, 18.00
18, 15.83, 17.00
16, 16.33, 18.00
14, 16.47, 18.00
19, 15.44, 18.00
22, 15.81, 18.00
20, 16.02, 18.00
24, 16.37, 18.00
23, 16.37, 18.00
21, 16.55, 18.00
26, 15.57, 18.00
30, 15.92, 18.00
25, 16.46, 18.00
28, 16.66, 18.00
27, 17.00, 18.00
29, 17.66, 20.00
