Seed, Runtime(s), ecmin
1, 40.78, 1755.00
3, 41.50, 1749.00
2, 42.53, 1746.00
4, 42.72, 1755.00
5, 43.27, 1746.00
6, 43.71, 1746.00
8, 40.75, 1752.00
7, 41.23, 1752.00
9, 43.32, 1752.00
10, 40.57, 1761.00
11, 42.06, 1752.00
12, 42.60, 1758.00
14, 40.86, 1758.00
15, 41.40, 1758.00
13, 42.42, 1752.00
16, 41.50, 1749.00
18, 41.92, 1749.00
17, 41.99, 1752.00
20, 40.15, 1755.00
21, 40.87, 1755.00
19, 41.34, 1746.00
22, 41.25, 1764.00
24, 42.22, 1758.00
23, 42.34, 1740.00
27, 42.19, 1749.00
26, 42.39, 1752.00
25, 43.19, 1746.00
28, 39.77, 1755.00
30, 39.89, 1749.00
29, 42.03, 1755.00
