Seed, Runtime(s), ecmin
1, 135.08, 2856.00
3, 138.86, 2853.00
2, 143.74, 2850.00
5, 139.07, 2853.00
6, 141.03, 2850.00
4, 142.75, 2853.00
9, 136.57, 2853.00
8, 138.02, 2841.00
7, 141.20, 2856.00
12, 153.58, 2853.00
10, 158.92, 2844.00
11, 160.06, 2850.00
14, 138.19, 2832.00
13, 140.43, 2865.00
15, 145.72, 2850.00
18, 134.83, 2856.00
16, 140.80, 2838.00
17, 152.79, 2856.00
21, 141.09, 2841.00
19, 142.64, 2850.00
20, 147.68, 2862.00
23, 138.80, 2847.00
24, 139.13, 2847.00
22, 139.65, 2847.00
25, 137.70, 2865.00
26, 141.52, 2862.00
27, 146.15, 2853.00
30, 148.56, 2847.00
29, 149.22, 2862.00
28, 152.88, 2850.00
