Seed, Runtime(s), ecmin
1, 179.31, 3369.00
2, 183.01, 3375.00
3, 185.23, 3366.00
4, 181.62, 3384.00
6, 186.56, 3369.00
5, 186.62, 3372.00
8, 174.60, 3366.00
7, 175.71, 3384.00
9, 185.62, 3378.00
10, 168.75, 3363.00
11, 175.38, 3375.00
12, 179.02, 3375.00
15, 172.67, 3375.00
14, 177.10, 3378.00
13, 185.04, 3375.00
18, 176.70, 3366.00
16, 179.06, 3366.00
17, 186.67, 3366.00
19, 179.69, 3378.00
21, 180.73, 3369.00
20, 181.12, 3369.00
23, 187.86, 3381.00
24, 192.16, 3372.00
22, 197.31, 3375.00
27, 180.71, 3369.00
26, 181.85, 3378.00
25, 181.97, 3372.00
29, 182.26, 3372.00
28, 190.51, 3366.00
30, 191.56, 3372.00
