Seed, Runtime(s), ecmin
1, 58.64, 1938.00
2, 59.89, 1938.00
3, 61.63, 1944.00
5, 58.90, 1938.00
4, 59.43, 1935.00
6, 60.04, 1935.00
9, 59.51, 1935.00
7, 59.95, 1932.00
8, 61.28, 1938.00
12, 58.33, 1941.00
10, 58.61, 1938.00
11, 61.21, 1935.00
13, 58.84, 1938.00
15, 59.50, 1935.00
14, 61.55, 1929.00
16, 62.14, 1932.00
17, 63.00, 1938.00
18, 63.60, 1935.00
19, 60.26, 1938.00
20, 61.87, 1941.00
21, 62.29, 1932.00
22, 59.69, 1932.00
24, 60.83, 1935.00
23, 61.45, 1932.00
27, 58.32, 1944.00
26, 59.62, 1935.00
25, 59.78, 1932.00
29, 62.23, 1941.00
28, 62.35, 1938.00
30, 62.37, 1932.00
