Seed, Runtime(s), ecmin
3, 17.08, 1056.00
2, 17.19, 1053.00
1, 17.36, 1050.00
4, 17.04, 1050.00
5, 17.78, 1056.00
6, 17.92, 1050.00
8, 17.51, 1056.00
7, 17.97, 1056.00
9, 18.10, 1053.00
12, 16.78, 1053.00
10, 16.88, 1059.00
11, 17.71, 1053.00
13, 17.10, 1050.00
14, 18.04, 1056.00
15, 18.28, 1047.00
16, 16.41, 1053.00
17, 16.51, 1059.00
18, 17.21, 1050.00
21, 17.93, 1059.00
19, 19.21, 1056.00
20, 20.36, 1056.00
23, 16.72, 1056.00
24, 17.31, 1053.00
22, 17.92, 1053.00
26, 16.98, 1059.00
25, 17.89, 1056.00
27, 18.64, 1053.00
28, 16.56, 1056.00
29, 18.01, 1056.00
30, 18.47, 1053.00
