Seed, Runtime(s), ecmin
1, 29.71, 1329.00
3, 30.76, 1320.00
2, 31.57, 1317.00
5, 29.90, 1329.00
6, 30.77, 1326.00
4, 31.35, 1326.00
8, 29.39, 1323.00
7, 29.99, 1326.00
9, 30.28, 1323.00
12, 30.50, 1329.00
10, 32.44, 1332.00
11, 33.65, 1323.00
15, 29.37, 1332.00
14, 30.28, 1314.00
13, 31.32, 1332.00
17, 30.10, 1323.00
18, 31.19, 1326.00
16, 32.17, 1323.00
21, 30.29, 1320.00
19, 30.98, 1326.00
20, 33.21, 1329.00
22, 29.53, 1323.00
24, 31.39, 1323.00
23, 32.24, 1320.00
27, 29.99, 1335.00
26, 30.51, 1338.00
25, 30.58, 1326.00
29, 28.89, 1335.00
28, 31.51, 1320.00
30, 32.53, 1308.00
