Seed, Runtime(s), ecmin
2, 80.69, 2325.00
3, 82.12, 2313.00
1, 82.34, 2319.00
5, 79.21, 2328.00
6, 79.42, 2322.00
4, 79.72, 2322.00
9, 79.95, 2313.00
7, 81.13, 2319.00
8, 83.26, 2325.00
10, 87.43, 2319.00
11, 87.64, 2319.00
12, 88.13, 2331.00
13, 84.01, 2319.00
15, 84.75, 2319.00
14, 86.07, 2328.00
17, 81.11, 2313.00
18, 81.87, 2322.00
16, 82.41, 2322.00
20, 80.28, 2313.00
21, 81.87, 2319.00
19, 83.17, 2319.00
24, 83.81, 2322.00
23, 87.48, 2316.00
22, 87.74, 2328.00
26, 81.22, 2334.00
25, 85.34, 2316.00
27, 89.08, 2319.00
30, 79.29, 2325.00
28, 82.54, 2328.00
29, 89.22, 2328.00
