Seed, Runtime(s), ecmin
3, 8.43, 696.00
1, 9.61, 696.00
2, 9.90, 696.00
4, 9.41, 696.00
6, 9.72, 696.00
5, 10.48, 696.00
7, 8.18, 696.00
9, 8.46, 696.00
8, 10.33, 696.00
11, 8.68, 696.00
10, 10.21, 696.00
12, 10.83, 696.00
14, 9.23, 699.00
13, 9.42, 696.00
15, 10.62, 696.00
18, 8.43, 696.00
17, 9.01, 696.00
16, 9.47, 696.00
21, 8.71, 696.00
19, 9.08, 699.00
20, 9.53, 696.00
23, 8.79, 696.00
22, 9.43, 696.00
24, 9.64, 696.00
26, 8.95, 696.00
25, 9.53, 696.00
27, 9.67, 696.00
30, 8.78, 696.00
29, 9.56, 699.00
28, 9.72, 696.00
