Seed, Runtime(s), mecmin
2, 75.92, 25
1, 90.59, 26
4, 94.29, 24
3, 96.26, 24
5, 85.61, 24
6, 90.71, 26
8, 104.21, 24
7, 105.71, 24
10, 84.47, 25
9, 86.06, 25
11, 93.56, 25
12, 93.63, 25
13, 100.60, 24
14, 109.60, 24
16, 86.04, 24
15, 95.86, 27
17, 89.63, 26
18, 101.07, 25
19, 80.75, 25
20, 81.39, 25
21, 94.23, 24
22, 96.72, 25
24, 103.17, 24
23, 104.09, 24
26, 97.41, 25
25, 120.13, 24
27, 98.49, 24
28, 101.49, 25
29, 108.38, 23
30, 115.13, 25
