Seed, Runtime(s), ecmin
2, 8.83, 1059
1, 9.00, 1065
3, 8.54, 1062
4, 8.81, 1065
5, 8.79, 1062
6, 9.19, 1059
7, 8.35, 1068
8, 8.73, 1062
9, 11.05, 1062
10, 11.12, 1050
12, 8.73, 1056
11, 10.57, 1050
14, 8.41, 1062
13, 8.83, 1068
15, 8.90, 1065
16, 8.93, 1065
17, 8.65, 1056
18, 9.05, 1056
20, 9.06, 1065
19, 9.75, 1050
21, 9.52, 1071
22, 10.14, 1062
23, 8.24, 1059
24, 9.91, 1059
25, 8.36, 1065
26, 9.18, 1062
28, 9.16, 1068
27, 9.49, 1053
30, 8.81, 1062
29, 8.85, 1062
