Input, avgRuntime, mecmin, best, worst, std
100 4 20, 14.72, 21.96, 18.00, 23.00, 1.29
150 4 20, 26.82, 18.03, 17.00, 20.00, .80
200 4 20, 45.25, 20.00, 20.00, 20.00, 0
250 4 20, 65.43, 22.00, 21.00, 24.00, 1.33
300 4 20, 101.11, 20.63, 18.00, 23.00, 1.02
350 4 20, 142.95, 21.70, 18.00, 27.00, 2.16
400 4 20, 177.31, 21.23, 20.00, 23.00, .85
450 4 20, 247.94, 25.80, 24.00, 34.00, 2.29
500 4 20, 309.97, 24.66, 24.00, 27.00, .65
