Seed, Runtime(s), mecmin
1, 14.11, 20.00
3, 13.96, 22.00
5, 14.00, 21.00
4, 14.35, 23.00
2, 14.82, 21.00
6, 15.03, 23.00
10, 13.69, 21.00
7, 14.03, 23.00
11, 14.16, 23.00
12, 14.48, 23.00
8, 14.55, 23.00
9, 14.76, 21.00
16, 13.58, 23.00
15, 14.16, 22.00
14, 14.45, 23.00
18, 14.74, 21.00
17, 15.26, 23.00
13, 15.34, 23.00
24, 14.59, 21.00
19, 14.78, 23.00
21, 15.01, 23.00
20, 15.33, 21.00
23, 15.51, 18.00
22, 16.23, 23.00
25, 14.09, 21.00
29, 14.66, 21.00
27, 15.13, 23.00
26, 15.50, 20.00
30, 15.67, 23.00
28, 15.69, 23.00
