Seed, Runtime(s), mecmin
3, 295.19, 24.00
4, 307.82, 25.00
2, 310.31, 25.00
1, 312.83, 25.00
6, 312.87, 24.00
5, 319.22, 25.00
7, 321.23, 25.00
8, 324.28, 25.00
11, 327.02, 24.00
9, 327.60, 25.00
12, 327.77, 24.00
10, 329.66, 25.00
18, 288.38, 24.00
13, 297.97, 24.00
14, 299.09, 24.00
17, 306.82, 25.00
15, 313.06, 24.00
16, 313.32, 27.00
21, 304.76, 25.00
22, 305.64, 24.00
19, 307.09, 25.00
23, 309.22, 25.00
24, 311.33, 25.00
20, 314.39, 25.00
29, 294.41, 24.00
28, 295.50, 24.00
25, 296.56, 25.00
26, 308.00, 24.00
27, 308.59, 25.00
30, 309.34, 25.00
