Seed, Runtime(s), mecmin
4, 260.41, 19.00
6, 262.78, 20.00
3, 264.85, 19.00
7, 266.26, 20.00
2, 267.98, 19.00
1, 269.03, 20.00
5, 269.09, 19.00
8, 270.30, 20.00
12, 252.26, 20.00
14, 252.82, 19.00
10, 257.98, 20.00
13, 261.57, 20.00
15, 263.82, 20.00
16, 264.99, 19.00
11, 266.62, 19.00
9, 267.03, 19.00
18, 264.32, 19.00
21, 264.75, 19.00
22, 264.70, 19.00
23, 266.92, 20.00
24, 268.77, 19.00
17, 269.08, 17.00
20, 270.43, 19.00
19, 271.62, 19.00
28, 194.49, 19.00
25, 197.94, 19.00
26, 202.87, 18.00
30, 205.39, 19.00
29, 207.93, 18.00
27, 208.11, 19.00
