Seed, Runtime(s), mecmin
6, 63.89, 21.00
1, 64.74, 24.00
4, 64.80, 22.00
3, 65.42, 21.00
5, 65.78, 24.00
2, 66.84, 21.00
8, 62.38, 24.00
7, 63.02, 21.00
10, 63.28, 24.00
9, 63.79, 24.00
12, 64.19, 21.00
11, 66.51, 21.00
14, 63.19, 21.00
15, 64.90, 21.00
18, 65.50, 24.00
13, 66.80, 21.00
17, 68.19, 21.00
16, 73.11, 21.00
23, 63.71, 21.00
22, 64.15, 21.00
21, 64.73, 22.00
19, 65.22, 23.00
20, 69.73, 24.00
24, 70.21, 21.00
29, 60.20, 23.00
27, 64.53, 21.00
28, 64.71, 24.00
26, 65.32, 21.00
30, 66.94, 21.00
25, 67.21, 21.00
