Seed, Runtime(s), mecmin
3, 27.70, 15.00
5, 28.02, 15.00
1, 28.39, 17.00
4, 29.49, 17.00
2, 29.72, 15.00
6, 31.09, 15.00
11, 29.39, 17.00
9, 31.53, 15.00
8, 32.55, 15.00
7, 32.87, 15.00
10, 32.94, 15.00
12, 35.15, 15.00
17, 27.90, 15.00
15, 29.06, 17.00
16, 29.26, 15.00
14, 30.14, 15.00
18, 30.31, 15.00
13, 30.82, 15.00
22, 28.74, 17.00
21, 29.40, 15.00
23, 29.88, 15.00
24, 30.57, 17.00
20, 31.33, 15.00
19, 32.23, 15.00
30, 29.65, 17.00
28, 31.78, 15.00
29, 32.22, 15.00
26, 33.36, 15.00
25, 33.38, 15.00
27, 33.59, 15.00
