Seed, Runtime(s), mecmin
3, 102.21, 22.00
4, 102.53, 23.00
5, 106.50, 24.00
2, 107.97, 23.00
1, 108.80, 21.00
6, 109.33, 24.00
9, 105.68, 24.00
11, 107.01, 24.00
7, 107.47, 24.00
10, 109.43, 24.00
12, 111.20, 24.00
8, 114.58, 24.00
17, 97.20, 24.00
18, 97.27, 24.00
15, 97.80, 22.00
16, 99.20, 24.00
14, 102.04, 24.00
13, 106.26, 23.00
23, 83.92, 24.00
24, 84.90, 22.00
22, 87.82, 24.00
21, 88.91, 21.00
19, 89.33, 24.00
20, 94.03, 21.00
30, 89.90, 24.00
25, 90.77, 23.00
28, 90.79, 24.00
29, 92.78, 24.00
27, 93.00, 23.00
26, 94.64, 23.00
