Seed, Runtime(s), mecmin
2, 133.51, 23.00
6, 140.69, 21.00
3, 143.18, 21.00
1, 144.00, 19.00
4, 146.52, 26.00
5, 152.28, 21.00
12, 135.66, 21.00
8, 138.46, 20.00
10, 140.85, 23.00
11, 143.68, 21.00
9, 145.79, 19.00
7, 147.01, 20.00
14, 140.57, 24.00
16, 142.59, 21.00
15, 144.38, 20.00
18, 145.12, 20.00
13, 147.99, 24.00
17, 148.08, 20.00
19, 135.69, 18.00
24, 138.60, 26.00
20, 141.59, 23.00
21, 144.06, 27.00
23, 144.68, 23.00
22, 145.30, 21.00
29, 137.00, 24.00
26, 138.59, 21.00
27, 141.53, 21.00
28, 145.22, 21.00
25, 146.90, 21.00
30, 149.00, 21.00
