Seed, Runtime(s), mecmin
4, 47.72, 23.00
5, 50.22, 23.00
3, 50.97, 24.00
2, 52.22, 26.00
6, 52.48, 23.00
1, 52.97, 23.00
12, 47.26, 24.00
8, 48.12, 23.00
9, 49.34, 23.00
7, 50.17, 23.00
10, 50.19, 23.00
11, 51.93, 23.00
18, 45.61, 23.00
13, 47.64, 23.00
15, 48.33, 23.00
17, 48.19, 23.00
16, 48.28, 23.00
14, 49.21, 24.00
22, 51.56, 26.00
19, 51.91, 23.00
20, 52.29, 23.00
24, 53.26, 23.00
21, 53.55, 23.00
23, 54.52, 23.00
26, 47.94, 26.00
30, 48.60, 23.00
29, 49.33, 23.00
25, 49.75, 23.00
27, 49.82, 24.00
28, 50.07, 23.00
