Seed, Runtime(s), mecmin
3, 26.15, 17.00
1, 26.33, 18.00
5, 26.32, 17.00
2, 27.89, 18.00
6, 27.94, 18.00
4, 28.18, 18.00
10, 24.24, 18.00
12, 24.89, 18.00
11, 25.22, 18.00
8, 25.68, 18.00
7, 26.56, 17.00
9, 27.03, 18.00
16, 25.67, 19.00
18, 26.45, 20.00
17, 26.59, 17.00
14, 26.76, 18.00
15, 27.22, 18.00
13, 28.86, 18.00
20, 24.84, 18.00
19, 25.99, 18.00
23, 27.42, 18.00
24, 27.83, 20.00
22, 28.01, 18.00
21, 28.27, 18.00
26, 26.53, 17.00
27, 26.76, 18.00
25, 26.81, 18.00
28, 27.04, 18.00
29, 28.46, 17.00
30, 28.74, 20.00
