Seed, Runtime(s), mecmin
4, 95.57, 21.00
1, 96.84, 20.00
5, 98.59, 21.00
6, 99.10, 20.00
2, 100.65, 20.00
3, 103.26, 20.00
11, 95.88, 21.00
9, 98.26, 20.00
10, 100.11, 20.00
12, 101.02, 23.00
8, 102.17, 20.00
7, 105.85, 20.00
16, 97.60, 21.00
14, 98.12, 20.00
18, 100.06, 20.00
13, 102.90, 21.00
15, 104.39, 21.00
17, 106.01, 21.00
19, 98.44, 23.00
22, 101.67, 18.00
24, 102.30, 20.00
21, 103.09, 20.00
20, 105.58, 21.00
23, 109.84, 21.00
28, 98.02, 21.00
26, 99.96, 21.00
29, 99.99, 23.00
27, 102.11, 20.00
30, 102.06, 21.00
25, 104.03, 20.00
