Seed, Runtime(s), mecmin
3, 239.16, 27.00
6, 254.29, 25.00
4, 256.66, 24.00
2, 257.12, 24.00
5, 257.47, 24.00
1, 259.83, 25.00
12, 231.73, 34.00
9, 247.62, 25.00
10, 248.29, 26.00
8, 250.71, 27.00
7, 251.27, 26.00
11, 256.22, 24.00
14, 228.04, 28.00
15, 240.38, 24.00
17, 242.28, 25.00
13, 243.28, 24.00
18, 245.57, 25.00
16, 248.50, 27.00
24, 244.80, 25.00
20, 245.23, 26.00
21, 248.74, 29.00
19, 253.48, 24.00
23, 254.73, 25.00
22, 256.75, 24.00
26, 237.40, 25.00
25, 241.10, 25.00
30, 246.72, 24.00
29, 247.97, 29.00
28, 251.04, 30.00
27, 251.85, 24.00
