Seed, Runtime(s), mecmin
2, 74.77, 23.00
1, 78.95, 20.00
5, 79.04, 20.00
3, 79.58, 24.00
6, 79.70, 24.00
4, 83.33, 21.00
8, 74.05, 21.00
10, 77.73, 21.00
12, 78.17, 21.00
7, 78.94, 22.00
9, 79.22, 21.00
11, 80.13, 23.00
15, 74.24, 21.00
16, 74.41, 21.00
18, 74.57, 24.00
13, 75.25, 22.00
14, 78.02, 23.00
17, 82.74, 21.00
21, 71.82, 23.00
23, 77.05, 23.00
24, 79.15, 21.00
19, 79.33, 20.00
22, 80.58, 24.00
20, 83.82, 21.00
27, 77.83, 23.00
26, 77.97, 23.00
28, 79.93, 20.00
29, 79.94, 21.00
25, 81.32, 21.00
30, 84.29, 20.00
