Seed, Runtime(s), mecmin
4, 13.91, 24.00
3, 14.17, 23.00
6, 14.30, 24.00
5, 14.51, 24.00
1, 15.09, 26.00
2, 15.18, 26.00
9, 14.54, 23.00
10, 14.60, 23.00
12, 14.83, 24.00
11, 15.39, 23.00
8, 15.57, 23.00
7, 15.77, 23.00
13, 14.38, 24.00
14, 14.51, 26.00
16, 14.76, 26.00
17, 14.75, 24.00
18, 15.02, 26.00
15, 15.56, 26.00
20, 14.42, 23.00
24, 14.72, 24.00
22, 15.04, 23.00
21, 15.06, 26.00
19, 15.42, 23.00
23, 15.79, 26.00
27, 14.13, 24.00
25, 14.56, 24.00
28, 14.65, 24.00
26, 14.70, 26.00
29, 14.94, 26.00
30, 15.17, 23.00
