Seed, Runtime(s), mecmin
1, 173.09, 23.00
3, 173.84, 22.00
4, 176.72, 21.00
2, 177.61, 21.00
6, 179.65, 21.00
5, 188.00, 21.00
8, 166.89, 20.00
7, 173.55, 21.00
11, 176.75, 20.00
12, 179.00, 21.00
10, 181.45, 21.00
9, 184.91, 21.00
16, 172.64, 21.00
15, 173.61, 21.00
13, 178.43, 23.00
18, 180.22, 20.00
14, 182.26, 21.00
17, 183.26, 21.00
20, 169.06, 21.00
23, 174.05, 21.00
19, 174.87, 23.00
22, 175.90, 21.00
24, 179.63, 22.00
21, 182.48, 21.00
26, 167.83, 22.00
25, 174.24, 21.00
30, 177.70, 20.00
28, 178.88, 21.00
27, 179.97, 23.00
29, 183.04, 21.00
