Seed, Runtime(s), mecmin
4, 42.37, 20.00
3, 44.82, 20.00
1, 45.13, 20.00
2, 45.65, 20.00
5, 46.36, 20.00
6, 48.54, 20.00
10, 43.56, 20.00
8, 44.80, 20.00
12, 45.24, 20.00
9, 45.47, 20.00
7, 46.56, 20.00
11, 46.86, 20.00
13, 41.31, 20.00
14, 44.36, 20.00
15, 45.33, 20.00
16, 45.91, 20.00
18, 47.82, 20.00
17, 48.47, 20.00
24, 44.87, 20.00
20, 45.22, 20.00
22, 45.58, 20.00
23, 45.92, 20.00
21, 46.00, 20.00
19, 47.86, 20.00
29, 42.79, 20.00
30, 42.99, 20.00
27, 43.53, 20.00
28, 44.31, 20.00
25, 44.86, 20.00
26, 45.19, 20.00
